;118
capitalists;5
capitals;1
capitol;7
caps;1
captain;33
captains;4
caption;1
captives;1
captors;1
capture;47
captured;95
captures;3
capturing;5
car;15
caravan;1
caravans;4
caravels;2
card;1
cardinal;1
carding;1
cards;2
care;4
cared;5
career;5
careful;4
carefully;2
cargo;5
cargoes;1
caribbean;3
caricatured;1
carleton;2
carolina;104
carolina%--you;1
carolinas;7
caroline;3
carpenters;3
carpet;3
carpetbag;1
carpetbaggers;6
carpetbags;1
carpeted;1
carpets;1
carriage;1
carried;61
carrier;5
carriers;2
carry;24
carrying;8
cars;9
cars1;1
carson;2
cart;2
carteret;4
cartier;2
cartridges;1
carved;1
cary;1
case;10
cases;5
cash;6
cashmeres;1
cask;1
cass;2
cast;9
castine;2
casting;3
castle;5
cat;1
catch;1
catchers;1
catholic;5
catholics;3
catholics%--the;1
catlike;1
cattle;15
caucus;11
caught;1
cauliflower;2
cause;17
caused;18
causes;15
causing;2
cautious;1
cavalry;3
caves;2
cavite;1
cayuga;1
cayugas;1
cc;1
cease;3
ceased;17
cecilius;1
cedar;5
cede;2
ceded;23
cedes;7
ceding;1
celeron;2
celerons;1
cell;1
celoron;5
cemeteries;1
cemetery;1
censure;6
census;12
cent;19
center;2
centered;2
centering;1
centers;3
centinel;3
central;11
cents;19
century;29
ceremonial;1
ceremonials;1
ceremony;2
cerro;3
certain;55
certainly;1
certainty;1
certificate;1
certificates;15
certificates%--in;1
certificates%--long;1
certificates%--now;1
certified;1
cervera;6
cerveras;1
cessation;3
cession;4
cessions;2
chadds;2
chaffee;1
chah-pool-ta-pek;1
chain;6
chains;2
chairman;5
chairmen;1
chairs;1
challenge;4
challenged;1
chamber;2
chamber2;1
chambers;2
chambersburg;2
champlain;22
chance;7
chancellorsville;3
change;20
change%--the;1
changed;16
changes;10
changing;1
channel;6
channel1;1
channels;1
channing;2
channings;2
chap;24
chapel;1
chapmans;3
chaps;18
chapter;39
chapultepec;3
character;6
character%--living;1
characteristic;4
characteristics;1
characters;1
charge;23
charged;6
charges;6
charging;1
charitable;1
charities;1
charles;32
charleston;30
charlestown;10
charlie;2
charlotte;1
charm;1
charming;1
charter;58
chartered;12
chartering;4
charters;16
charters%--during;1
chartres;2
charts;1
chase;2
chased;1
chattanooga;9
chattanooga%--while;1
chautauqua;6
cheap;7
cheapened;1
cheaper;6
cheaply;1
cheating;1
check;6
checked;4
checks;2
chee-wah-wah;1
cheek;2
cheeks;1
cheer;2
cheered;1
cheese;1
cheesebox;1
chelsea;1
cherbourg;1
cherokee;2
cherokees;1
cherry;5
chesapeake;28
chesapeake1;1
chester;4
chestnut;1
chicago;16
chickahominy;2
chickamauga;4
chickasaw;3
chickens;1
chief;39
chiefly;9
chiefs;1
chihuahua;1
child;3
childhood;1
children;16
children--landed;1
childrens;1
chile;1
chimney;3
chimneys;3
china;12
china%--early;1
china-bound;1
chinamen;2
chinese;18
chippewa;4
chisels;1
chloroform;2
choctaw;2
choice;7
choo-roo-boos-ko;1
choose;7
choosing;1
chose;9
chosen;28
chowan;1
christened;1
christian;5
christianity;2
christians;2
christmas;4
christopher;1
church;22
churches;2
churchyard;1
churubusco;3
cibola;4
cibola%--the;1
cider;4
cincinnati;13
cinders;2
circle;3
circuit;5
circuits;2
circular;6
circular%--speculation;1
circulate;2
circulation;9
circumstances;1
cited;1
cities;55
cities%--and;1
cities%--if;1
cities%--yet;1
cities--baltimore;1
citizen;17
citizens;21
citizenship;4
city;120
city1;2
civic;1
civil;67
civilization;3
civilized;1
civilizers;1
claim;22
claimed;29
claiming;6
claims;36
claims%;1
clair;3
clairs;1
clamber;1
clan;3
clanging;1
clans;2
clapboard;1
clark;12
clark%--meantime;1
clark%--that;1
clash;1
class;10
classes;5
classes--industrial;1
clause;5
claws;1
clay;36
clay1;1
clays;4
clean;3
cleaned;1
cleaning;1
clear;8
clearance;1
cleared;3
clearing;4
clearings;1
clearly;2
clergy;1
clerk;1
clerks;3
clermont;2
clermont2;1
cleveland;15
clevelands;1
cliff;2
cliffs;3
climate;3
climb;1
climbed;3
clinch;1
clinton;21
clintons;1
clippd;1
clippers;1
clock;1
clocks;2
close;15
closed;8
closer;2
closing;1
cloth;14
clothes;4
clothing;9
clothing%--all;1
cloths;1
cloud;2
clouds;2
clubhouses;1
clumsy;2
cluster;1
co;1
coach;8
coaches;2
coal;11
coals;3
coarse;3
coast;118
coast%--never;1
coast%--the;1
coast--200;1
coast--50;1
coasted;4
coasting;1
coasts;2
coat;4
coats;1
cobb;2
cochrane;4
cockade;1
cockburn;4
cod;10
cod3;1
codes;1
codfish;1
coffee;3
coffee-house;1
coffeehouse;1
coffeehouses;2
coffin;1
coffins;1
cohoes;3
coiled;1
coin;28
coin--and;1
coinage;28
coined;6
coining;2
coins;14
coke;1
cold;8
colfax;3
collect;8
collected;12
collecting;1
collection;8
collections;1
collector;2
collectors;4
college;4
collier;1
collins;3
colombia;4
colombian;1
colonel;11
colonial;73
colonies;151
colonies%--if;1
colonies%--in;1
colonies%--it;1
colonies%--south;1
colonies%--thus;1
colonies--massachusetts;1
colonists;46
colonization;6
colonize;3
colonized;3
colony;83
colony%--just;1
colony%--thus;1
colony%--while;1
colony--who;1
colony1;2
color;1
colorado;16
colored;4
colors;4
colt;2
colts;1
columbia;38
columbian;2
columbus;37
column;2
columns;2
combination;2
combine;1
combined;8
combines;1
combining;1
come;46
comes;1
comfort;4
comfort--and;1
comfortable;4
comforts;1
coming;28
command;54
command%--two;1
command2;1
commandant;2
commandant--was;1
commanded;14
commander;20
commanding;1
commemorate;1
commenced;1
commencement;1
commences;1
commerce;50
commerce%--in;1
commerce1;1
commercial;25
commissary;1
commission;12
commission%;1
commissioned;3
commissioner;1
commissioners;15
commissioners--two;1
commissions;1
commit;3
committed;2
committee;10
committees;2
commodore;7
common;10
commoners;1
commonest;1
commonly;3
commons;5
commonwealth;2
communicated;1
communication;10
communications;1
communities;2
communities%--the;1
community;3
commute;1
compact;4
compact%--since;1
companies;31
companies%--as;1
companies%--in;1
companions;4
company;95
company%--on;1
company2;2
companys;4
compare;1
compared;1
comparison;1
compel;4
compelled;2
compensation;1
compete;3
competed;1
competing;1
competition;3
competitors;1
compilation;1
complained;8
complaining;1
complaints;1
complete;15
completed;7
completely;4
completing;2
completion;2
complexion;1
compliance;6
complicated;1
complications;2
complied;5
complies;1
compliment;1
comply;8
complying;3
composed;10
compressed;2
compressed-air;1
comprised;3
compromise;58
compromise%--each;1
compromise%--the;1
compromise%--when;1
compromise2;1
compromiser;1
compromises;2
compromises%--this;1
comptroller;3
compulsory;2
computer;2
computers;2
comrades;1
con-tra-rahs;1
concentrate;1
concept;2
concern;2
concerned;4
concerning;6
concerns;2
concluded;1
conclusion;1
concord;14
concurrence;2
condemned;3
condition;30
conditions;19
conduct;10
conducted;2
conductor;1
conestoga;2
confederacy;31
confederacy%--what;1
confederate;56
confederates;25
confederation;17
confederation%--the;1
confederation%--while;2
conference;6
confided;1
confidence;3
confident;1
confine;3
confined;3
confirmation;2
confirmed;4
confirms;1
confiscated;1
confiscation;1
conflict;9
conflicting;2
conflicts;2
confluence;1
confounded;1
confusion;4
congregation;1
congregational;1
congregations;1
congress;395
congress%--another;1
congress%--during;1
congress%--from;1
congress%--the;1
congress%--to;1
congressional;8
congressmen;7
conn;4
connect;2
connected;9
connecticut;68
connecticut--were;1
connecting;1
connection;4
conquer;7
conquered;11
conquerors;1
conquers;2
conquest;11
conscience;1
conscript;1
conscription;2
consent;23
consented;2
consequence;21
consequences;10
consequential;1
consider;11
considerable;4
consideration;6
considered;10
considering;1
consigned;1
consist;3
consisted;18
consisting;2
consists;1
consolidate;1
conspiracies;1
conspiracy;4
constable;2
constant;2
constantinople;3
constantly;2
constellation;3
constituents;1
constitute;3
constituted;1
constitution;149
constitution%--an;1
constitution%--the;1
constitution%--when;1
constitution--one;1
constitution1;3
constitutional;12
constitutions;24
constrains;1
construct;2
constructed;4
constructing;1
construction;8
constructor;1
construed;1
consul;2
consult;3
consultation;1
consulting;2
consume;1
consumed;5
contact;4
contain;3
contained;7
containing;4
contains;1
contempt;1
contended;1
contending;1
content;4
contents;1
contest;15
continent;27
continental;39
continents;3
continuance;2
continue;3
continued;12
continued%--but;1
continuing;2
continuous;3
contract;13
contracted;5
contraction;5
contracts;3
contrary;3
contrary1;1
contrast;1
contreras;3
contribute;1
contributed;1
contributions;2
contributors;1
control;33
control%--the;1
controlled;4
controversy;1
convened;1
convenience;1
conveniences;4
conveniences%--when;1
convention;96
convention%--finding;1
convention%1--early;1
convention--to;1
conventions;17
conversion;1
convert;3
convertible;1
conveyances;2
convict;2
convicted;4
convictions;1
convicts;2
convince;4
convinced;6
convulsions;1
conway;2
coobah;1
cooeperated;2
cooke;2
cooked;2
cooking;4
coon;1
coons;1
cooper;2
cooperative;1
copied;3
copies;11
copper;4
copper-colored;1
copy;15
copying;4
copyright;13
cor-ta-ra-ahl;1
cor-tez;1
corinth;8
corinth%--while;1
corinth1;1
corn;11
corn-husk;1
corner;5
cornwallis;19
cornwallis%--thus;1
coronado;5
coronados;1
corporal;1
corporation;8
corporations;20
corporations%--that;1
corporations%--these;1
corps;1
correct;1
corrected;1
correspond;1
corresponded;1
corresponding;1
corrupt;1
corrupting;1
corruption;1
cortereal;2
cortereals;2
cortes;5
cortez;1
corvettes;1
cos;1
cost;43
costly;2
costs;4
cotton;56
cotton-raising;1
cotton-seed;2
could;209
council;37
council2;1
counsel;2
count;4
counted;14
counter;1
counterfeiters;1
countermanded;1
counties;12
countless;1
countries;11
country;253
country%;1
country%--lewis;1
country--a;1
country--the;1
country1;1
country3;1
countrymen;6
county;7
couple;1
coupled;2
coupler;1
courage;6
coureur;1
coureurs;5
course;49
court;31
court--;1
courthouse;11
courts;24
courts%--the;1
cover;5
covered;15
covering;4
cow;2
cowardly;2
cowpens;3
cowpens%--meantime;1
crackd;1
cradle;1
craft;3
cramped;1
crane;1
cranfill;2
crav-ker;1
crawford;7
craze%--then;1
crazy;1
create;2
created;22
created/;1
creates;1
creating;5
creation;6
creator;2
creatures;1
credit;20
credit%--but;1
credulous;1
creek;16
creeks;1
creeping;1
creightons;1
crest;1
crevecoeur;3
crew;6
crews;1
cried;2
cries;2
crime;4
crimes;3
criminal;1
criminals;7
crippled;1
crisis;3
crispin;1
critical;5
crittenden;3
crittendens;1
crockery;2
croghan;2
croix;4
cromwell;1
crooked;1
crop;3
crops;5
cross;12
crossbones;1
crossed;31
crossing;9
crossroads;1
crotch;1
crowd;4
crowded;2
crowding;2
crowds;2
crown;15
crude;1
cruel;5
cruelty;1
cruise;2
cruised;2
cruiser;4
cruisers;10
cruises;1
cruising;5
crush;1
crushed;2
crushing;1
cruz;4
cry;6
crying;1
cuba;29
cuba%--after;1
cuba%--one;1
cuban;10
cubans;3
culiacan;2
culpeper;2
cultivate;1
cultivated;3
cultivating;1
cultivation;1
cumberland;18
cunard;4
cured;1
curiosity;1
curious;1
curious-looking;1
curl;1
currency;38
currency%--the;1
current;6
curtains;3
curtis;3
custiss;1
custom;10
customers;2
customhouse;2
customhouses;3
customs;10
cut;55
cutlass;1
cutlery;1
cuts;2
cutting;10
cuttyhunk;1
cyclone;1
cylinder;1
cyrus;2
d;3
da;4
daguerreotype;2
daily;16
dakota;16
dakotas;2
dallas;3
dalles;2
dalton;4
damage;7
damaged;2
damages;5
danger;1
dangerously;1
dangers;2
daniel;13
dare;2
dared;1
daring;1
dark;5
darker;1
darkest;2
darkness;4
dash;3
dashed;1
dashing;2
data;1
date;9
dated;1
dates;3
dating;1
daughter;3
daughters;1
dauphin;1
davenport;2
david;6
davidson;1
davie;2
davis;14
dawn;5
day;105
daylight;2
days;83
days--perhaps;1
dayton;3
dc;1
de;38
dead;9
dead1;2
deadened;1
deadly;1
deaf;2
deal;4
dealing;1
dealings;1
dealt;1
dean;1
deane;2
dear;1
dearborn;2
dearborns;1
death;24
deaths-heads;1
debate;6
debated;1
debates;8
debates%--the;1
debating;1
debt;70
debt%--as;1
debt%--besides;1
debt%--the;1
debt-paying;1
debt1;1
debtor;1
debtors;3
debts;31
dec;4
decade;4
decay;1
deceived;1
december;51
decent;3
decide;8
decided;36
deciding;1
decision;11
decision%--hundreds;1
decision%--when;1
deck;9
decks;1
declaration;39
declarations;1
declaratory;1
declare;9
declare--that;1
declared;81
declared%--independence;1
declared%--up;1
declares;3
declaring;11
decline;1
declined;7
declining;1
decorated;2
decrease;1
decreased;1
decree;5
decree%--napoleon;1
decree1;2
decreed;1
decrees;12
dedication;1
deductible;1
deed;6
deeds;1
deem;1
deemed;2
deep;6
deep-seated;1
deeply;5
deer;2
deerskin;2
defeat;19
defeated;44
defeats;7
defect;3
defection;1
defective;3
defects;6
defend;6
defended;8
defended%--having;1
defended--troops;1
defenders;1
defending;2
defends;2
defense;17
defenses;3
defensive;2
defiance;3
defiantly;1
define;1
defined;2
defining;1
definite;2
definitely;2
definition;1
defraying;1
deg;36
deg30;1
degenerates;1
degrade;1
degraded;3
degree;5
dekalb;2
del;9
delaware;71
delaware%--and;1
delaware%--if;1
delaware%--rude;1
delawares;3
delay;6
delays;1
delegate;7
delegate1;1
delegates;39
delegation;2
deletions;1
delft;1
deliberating;1
delight;5
delighted;2
delightful;3
deliver;2
delivered;6
delivery;7
demand;45
demand--;1
demanded;33
demanding;4
demands;7
demands--the;1
demarcation;4
democracy;1
democrat;4
democratic;49
democratic-republican;1
democrats;49
demonetized;1
demonstrate;1
demonstration;1
denied;8
denies;1
denominations;3
denounced;8
denounces;1
denouncing;1
dense;3
denser;1
denunciation;1
denver;11
depart;1
departed;2
department;23
department--called;1
departments;11
departments--legislative;1
departure;1
depend;3
depended;9
dependence;1
dependency;2
dependent;3
depending;1
depends;1
deposed;2
deposit;5
deposited;4
depositors;2
depository;1
deposits;7
depot;1
deprecated;1
depredations;2
depress;1
depression;6
deprived;5
dept;1
deputy;3
derivative;3
derive;1
derived;5
deriving;1
derricks;1
descendants;2
descent;3
descents;1
describe;1
described;6
description;6
desecrating;1
desecration;1
desert;10
desert%--but;1
deserted;1
deserters;1
desertion1;1
deserve;2
deserves;1
deserving;1
design;3
designated;1
designed;3
designs;1
desirable;2
desire;6
desired;6
desirous;1
despairing;1
desperate;11
desperately;1
desperation;1
despite;2
despotism;1
destiny;1
destroy;15
destroyed;43
destroyed%--while;1
destroyed1;1
destroyers;5
destroyers%--while;1
destroying;7
destroys;1
destruction;8
destructive;1
detach;1
detachment;2
detail;1
details;4
detected;1
determination;5
determine;6
determined;39
determining;1
detroit;16
devastating;1
develop;1
developed;5
developing;1
development;13
devices;1
devise;2
devolved;1
dewey;5
deweys;3
diameter;1
dictate;1
did;133
did1;1
die;5
die%--meantime;1
died;25
died1;1
died2;1
differ;2
differed;1
difference;4
differences;4
different;12
difficult;6
difficulties;4
difficulty;9
diffuse;1
dig;2
digested;1
digit;1
digits;1
dim;1
dime;2
dimes;3
dingley;2
dingy;1
dinner;3
dint;2
dinwiddie;6
dinwiddies;1
diplomatic;3
dipped;1
dire;1
direct;20
directed;5
direction;4
directions;1
directly;11
director;2
directories;1
directors;1
directory;10
disabled;3
disagreement;1
disallowed;2
disappear;1
disappearance;3
disappeared;6
disappearing;2
disappears;1
disappointed;2
disappointment;2
disapproved;2
disapproves;1
disastrous;1
disbanded;5
disbanding;1
disbands%--as;1
discerned;1
discharged;3
discipline;2
disciplined;1
disclaim;1
disclaimer;3
disclaimers;1
discontent;1
discontinue;1
discouraged;2
discouragement;2
discover;2
discovered;40
discoverer;1
discoverers;1
discoveries;10
discovers;4
discovery;32
discriminating;1
discriminations;1
discuss;1
discussed;7
discussing;2
discussion;4
disease;2
disfranchised;1
disguised;2
disgusted;2
dishonesty;1
dishonor;1
disk;1
disloyal;1
dismal;1
dismantled;1
dismayed;1
dismissed;3
disobedience;1
disobeyed;1
disorder;2
disorderly;1
disorders;1
disorganized;1
dispatch;4
dispatched;3
dispatches;1
dispatching;1
dispel;1
disperse;1
dispersed;1
displace;1
displaced;1
display;2
displayed;5
displaying;4
displeased;3
displeasure;1
dispose;1
disposed;6
disposition;2
dispute;12
dispute%--during;1
disputed;10
disputes;5
disqualification;1
disregard;1
disregarded;1
disregarding;1
disruption;1
dissatisfaction;1
dissatisfied;2
dissented;1
dissolution;1
dissolutions;1
dissolve;5
dissolved;8
dissolved%1--the;1
dissolving;1
dissuade;1
distance;12
distant;2
distilled;1
distinct;5
distinctive;1
distinguished;6
distress;13
distribute;6
distributed;15
distributing;7
distribution;16
distributor;2
distributors;2
distributors%--that;1
district;32
districting;1
districts;8
distrust;1
disturbing;1
disunion;4
disuse;1
ditch;2
diversity;1
divert;1
divide;7
divided;22
dividends;2
divides;1
dividing;4
division;3
divorce;2
dixon;2
dixons;3
do;93
do%--men;1
dock;1
doctrine;19
doctrine%--;1
doctrines;1
document;2
documents;10
does;8
doing;17
dole;2
dollar;15
dollars;22
dolly;1
domain;22
domain%--in;1
domain1;1
domains;1
domestic;11
domineering;1
dominion;2
dominions;1
donate;3
donation;1
donations;15
done;52
donelson;9
donors;1
dont;4
doo-kan;1
doomed;4
door;12
doors;4
dorchester;8
dorn;4
dotted;5
double;2
double-tracked;1
doubt;2
doubted;1
doubtful;4
douglas;19
dover;3
dow;2
down;122
downfall;1
download;2
downloading;1
downward;1
doyles;4
dozen;5
dr;13
draft;1
drag;2
dragged;6
dragging;3
dragoons;1
drainage;1
drained;6
drake;12
drakes;1
drank;1
draper;2
draw;4
drawbacks;1
drawing;6
drawings;1
drawn;21
draws;1
dreadful;14
dreary;1
dred;11
dredger;1
dress;2
dressed;1
dresses;1
dressing;2
drew;13
dried;4
drift;1
drill;3
drilled;2
drilling;3
drills;1
drinking;1
drive;9
driven;38
driver;2
drivers;3
driving;11
dropped;3
dropping;1
drove;18
drowned;1
drugget;1
drugs;1
drum;1
drums;2
drunk;1
dry;1
duane;2
duck;1
dudley;1
due;13
duels;1
dues;1
dug;2
duke;8
dull;2
duluth;3
duly;1
dumb;1
dunkirk;1
duquesne;11
duquesne%--when;1
duration;2
durham;3
during;83
dust;1
dutch;46
dutchmen;1
duties;25
duties--the;1
duty;36
dwellings;2
dwelt;3
dyed;1
dyewoods;1
dying;5
dynamite;2
dynamo;1
e;19
e-mail;1
eager;3
eagerly;2
eagerness;1
eagle;4
earle;3
earlier;2
early;59
earlys;2
earn;1
earned;3
earners;2
earnest;4
earnestly;1
ears;2
earth;9
earthwork;2
earthworks;2
easier;1
easily;13
east;68
east--;1
east--the;1
east1;1
easter;1
eastern;30
easton;1
eastport;3
eastward;10
easy;12
eat;3
eaves;1
ebooks;14
economic;2
edge;3
edited;1
edition;1
editions;5
editor;4
editors;1
edmunds;2
educate;1
education;2
educational;3
edward;10
effect;33
effectual;1
efficiency;1
efficient;1
effigy;1
effingham;2
effort;18
efforts;15
egglestons;8
eggplant;2
egypt;1
eight;39
eight-hour;1
eight-page;1
eighteen;9
eighteenth;3
eighth;1
eighths;1
eighty;6
eighty-eight;2
eighty-four;1
ein;1
either;24
el;2
elaborate;1
elapse;2
elapsed;3
elated;1
elbe;2
elbridge;5
elderberries;1
eleanor;1
elect;17
elected;67
elected%--it;1
elected1;1
electing;7
election;62
election%--while;1
elections;7
elector;4
electoral;16
electors;26
electric;10
electrician;1
electricity;6
electricity%--till;1
electronic;27
electronically;2
elects;2
elevator;3
eleven;19
eli;6
elias;2
elijah;4
elizabeth;8
elizabethan;1
ellicotts;1
elliots;2
ellmaker;2
ellsworth;2
elm;2
eloquent;1
else;6
elsewhere;4
email;3
emancipated;2
emancipation;12
embankments;1
embargo;14
embargo%--the;1
embargoes;1
embarked;1
emblem;1
embodied;1
emergency;3
emersons;1
emigrant;9
emigrants;21
emigrate;3
emigration;12
emigration%--sparse;1
emitting;1
emperor;5
empire;4
employ;3
employed;5
employee;1
employees;3
employer;2
employers;2
employment;7
empowered;1
empty;1
enable;6
enabled;8
enact;5
enacted;16
enactment;2
enacts;1
enameling;1
encamped;1
encoding;1
encounter;1
encountered;1
encourage;3
encouraged;8
encouragement;4
encouraging;1
encroachments;1
end;75
end1;1
endeavor;2
endeavored;1
ended;33
endicott;6
endless;3
endorse;1
endorsed;3
endowed;2
ends;3
endured;2
endures;1
enemies;4
enemy;26
enemys;3
energy;5
enforce;6
enforced;5
enforcement;1
enforcing;2
engage;4
engaged;15
engagement;2
engine;8
engine1;1
engineer;3
engines;1
england;216
england%--in;1
england%--it;1
england%--there;1
england%--they;1
england%--when;1
england%--with;1
england1;2
england4;1
englanders;1
english;126
english-made;1
english-speaking;1
englishman;1
englishmen;11
engraved;2
engraving;1
enjoy;3
enjoyed;4
enjoying;1
enlarged;4
enlargement;1
enlightened;1
enlist;1
enlisted;2
ennobled;1
enormous;4
enormously;1
enough;27
enrage;1
enraged;2
enrolled;1
ensign;5
ensuring;1
entailed;1
entangled;1
enter;8
entered;47
entering;7
enterprise;5
enterprises;2
enterprising;1
enters;4
enthusiasm;1
entire;12
entirely;9
entitle;1
entitled;8
entitles;1
entity;3
entrance;11
entreaties;1
entries;1
entry;3
enumeration;2
envelope;3
enveloped;1
envoy;1
envoys;1
episcopal;2
epochs;1
equal;19
equality;3
equally;4
equipment;3
era;12
erect;3
erected;6
ericsson;4
erie;32
erie%--again;1
eries;1
errand;1
errors;1
escape;5
escaped;7
escaping;3
escort;1
escorted;1
especially;11
essex;3
establish;16
established;69
establishing;7
establishment;17
establishments;4
estate;1
estimated;5
estranged;1
et;1
etc;19
etext;5
ethan;2
ether;2
ettings;1
euphrates;1
europe;43
european;32
europeans;5
eva;1
evacuated;10
evacuates;1
evacuation;6
evade;2
evans;2
evaporated;1
evasive;1
eve;2
even;51
evening;5
event;5
events;10
ever;67
everett;2
every;140
everybody;6
everyday;1
everything;5
everywhere;8
evidence;3
evidences;1
evil;3
evils;1
evinces;1
exact;2
exacted;1
exactly;6
examination;2
examine;1
examined;6
example;14
examples;1
exceed;1
exceeding;1
exceedingly;1
excellency;1
excellent;1
except;39
excepted;2
excepting;2
exception;2
exceptions;2
excerpt;2
excess;1
exchange;9
exchangeable;3
exchanged;5
exchanges;1
excises;2
excited;12
excitement;10
exciting;3
exclaimed;1
exclude;2
excluded;2
excluding;2
exclusion;8
exclusive;4
exclusively;1
executed;4
execution;6
executive;12
exempt;2
exempted;1
exercise;6
exercised;3
exercising;2
exertions;2
exeter;2
exhausted;2
exhibited;4
exhibiting;1
exhibition;1
exigencies;1
exist;13
existed;27
existence;11
existing;7
exists;5
exodus;1
expanded;4
expanse;2
expansion;10
expected;12
expediency;2
expedition;27
expedition%--in;1
expedition%--meanwhile;1
expeditions;7
expeditions%--the;1
expel;2
expelled;1
expend;1
expenditure;2
expenditures;3
expenditures%--on;1
expense;16
expenses;16
expensive;2
experience;6
experiment;5
experiments;3
expert;2
expiration;6
expire;2
expired;6
expiring;1
explained;1
explanation;2
exploding;1
exploit;1
exploits;2
exploration;11
explorations;11
explore;8
explored;24
explored%--a;1
explored%--all;1
explored%--and;1
explorer;1
explorers;8
explorers%;1
explores;3
exploring;3
explosion;1
export;4
exportation;3
exported;3
exporting;2
exports;2
exposed;3
exposition;3
exposition--was;1
express;22
expressed;5
expression;2
expressly;3
expulsion;2
expunged;3
extant;2
extend;5
extended;18
extending;6
extends;1
extension;9
extensive;1
extent;12
exterminated;1
extra;1
extract;1
extracted;1
extraordinary;3
extreme;3
extremity;1
eye;3
eyes;5
f;11
f3;1
fa;1
fabrics;1
face;21
faced;1
faces;6
facilitated;1
facilities;1
facility;1
facing;1
fact;13
faction;1
factions;3
factious;1
factories;11
factories1;1
factory;5
facts;6
fail;4
fail%--in;1
failed;32
failing;3
failure;17
failure2;1
failures;6
faintest;1
fair;9
fair--the;1
fairbanks;5
fairly;2
faith;3
faithful;1
faithfully;4
fall;11
fallen;4
falling;1
falls;6
falmouth;2
false;1
fame;2
familiar;2
families;8
family;7
famine;6
famous;25
fancy;4
fanned;1
fans;1
far;57
far-sighted;1
fare;3
farewell;3
fargo;1
farm;5
farmer;6
farmers;18
farmhouse;1
farmhouses;2
farming;10
farms;16
farragut;7
farther;6
fashion;3
fashionable;1
fast;8
fasten;2
fastened;3
faster;2
fasting;1
fatal;1
fate;2
father;3
fathers;9
fatigue;1
fatiguing;1
fault;3
favor;10
favorable;1
favored;2
favoring;2
favorite;5
favors;6
fb;1
fe;9
fear;11
feared;4
fearful;2
fearing;9
fears;1
feast;1
feathers;1
feature;1
features;7
feb;1
february;39
fed;1
federal;38
federalism;1
federalist;11
federalists;30
fee;8
feeble;3
feed;1
feeders;1
feel;1
feeling;21
feeling%--a;1
fees;4
feet;15
fell;35
felling;1
fellow-countrymen;1
felons;1
felt;6
female;1
fence;4
fences;1
ferdinand;2
ferdinando;3
ferried;1
ferry;5
ferryboat;1
ferryboats;1
fertile;2
feud;1
fever;2
few;95
fewer;1
field;30
fields;5
fierce;4
fiercest;2
fiery;1
fife;1
fifteen;21
fifteenth;7
fifth;8
fifths;2
fifty;21
fifty-cent;1
fifty-first;1
fifty-five;1
fifty-four;4
fifty-one;1
fifty-second;1
fight;26
fight%--so;1
fight1;1
fighting;23
fights;2
fights%--while;1
figure;1
figures;1
file;5
filed;2
filename;5
filenames;1
files;2
filipinos;2
fill;5
filled;10
filling;2
fillmore;10
final;3
finally;21
finance;2
finances;1
finances%--a;1
financial;23
financier;1
find;28
finding;13
findleys;1
finds;4
fine;15
fined;3
finely;1
finest;2
finish;1
finished;8
finished1;1
finishes;1
finisterre;1
fir-built;2
fire;39
fired;10
fired2;1
fireman;1
fireplace;1
fireplaces;1
fires;4
firing;4
firm;5
firmly;4
firmness;2
firms;1
first;240
fiscal;4
fish;7
fisher;2
fisheries;4
fishers;1
fishery;1
fishing;3
fiske;2
fiskes;12
fit;7
fitch;3
fitchs;2
fitness;2
fitted;6
fitting;1
five;74
five-cent;1
fix;6
fixed;11
fixing;2
flag;30
flag%--it;1
flag%--not;1
flags;5
flagship;3
flagstaff;1
flagstone;1
flail;3
flails;1
flakes;1
flamborough;1
flame;1
flames;3
flank;2
flanked;1
flannel1;1
flat;1
flatboat;1
flatboats;2
flattered;1
flax;3
fled;14
flee;1
fleet;54
fleet--capture;1
fleets;2
flight;5
flint;3
float;4
floated;9
floating;5
flock;1
flocks;1
flogged;1
flood;1
flooded;1
floor;4
florida;61
floridas;3
flour;18
flour-producing;2
flourish;2
flourished;3
flourishing;2
flow;1
flowed;2
flowerd;1
flowing;1
flung;3
flute;1
flying;5
flying1;1
foggy;1
fold;7
follow;10
followed;72
followers;14
following;22
follows;3
fondly;1
fondness;1
food;18
foods;1
foolish;1
foot;19
foot1;1
foote;5
footing;5
footnote;280
footnote1;1
footnotes;1
for;1163
forbade;11
forbearance;1
forbid;3
forbidden;11
forbidding;4
forbids;1
force;67
forced;68
forces;21
forcible;1
forcing;3
ford;2
fords;1
fore;1
fore-topsail;1
foreheads;1
foreign;50
foreign-made;2
foreigner;2
foreigners;9
forerunner;2
forest;4
forests;3
forever;6
forge;8
forge%--the;1
forgers;1
forget;1
forgiveness;1
forgotten1;1
fork;1
forks;2
form;37
formal;9
formally;7
format;4
formation;11
formats;3
formed;47
formed%--the;1
former;3
formerly;3
formidable;1
forming;4
forms;8
fort;154
forth;32
fortieth;1
fortifications;4
fortified;9
fortify;6
fortitude;1
fortnight;1
fortress;2
forts;39
forts%--the;1
fortunate;1
fortunately;1
fortune;1
fortunes;1
forty;20
forty-eight;1
forty-fifth;1
forty-five;2
forty-niners;3
forty-ninth;3
forty-one;1
forty-seventh;1
forty-sixth;2
forty-two;1
forward;11
fought;29
fought1;1
foul;2
found;85
foundation;26
foundations;4
founded;75
founded%--the;1
founder;1
founders;2
founding;10
four;59
fourteen;11
fourteenth;8
fourth;17
fourths;3
